"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"RN1";"10K";"4R-NEXBS8V";"EXBS8V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN2";"10K";"4R-NEXBS8V";"EXBS8V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN3";"10K";"4R-NEXBS8V";"EXBS8V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN4";"10K";"4R-NEXBS8V";"EXBS8V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN5";"10K";"4R-NEXBS8V";"EXBS8V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN6";"1K";"4R-NEXBS8V";"EXBS8V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RX_LED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"S2";"";"TAC_SWITCHPTH";"TACTILE-PTH";"Momentary Switch";"";"";"";"";
"SER1";"";"3PIN-HEADER";"3PIN-HEADER";"PIN HEADER";"";"";"";"";
"SER2";"";"3PIN-HEADER";"3PIN-HEADER";"PIN HEADER";"";"";"";"";
"SJ1";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SJ2";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SJ3";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SJ4";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SJ5";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";
"SJ6";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";
"SJ7";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SJ8";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SJ9";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";
"TFT";"TFT01-2.4";"TFT01-2.4";"TFT01-2.4";"";"";"";"";"";
"TX_LED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"T_STP";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"U$1";"A4988BREAKOUT";"A4988BREAKOUT";"A4988BREAKOUT";"";"";"";"";"";
"U$6";"A4988BREAKOUT";"A4988BREAKOUT";"A4988BREAKOUT";"";"";"";"";"";
"U$7";"A4988BREAKOUT";"A4988BREAKOUT";"A4988BREAKOUT";"";"";"";"";"";
"U1";"ARDUINO_MEGA_SHIELD";"ARDUINO_MEGA_SHIELD";"ARDUINO_MEGA_SHIELD";"";"";"";"";"";
"X-MOT";"";"1X4-BIG";"1X04-BIG";"4-pin connector";"";"";"";"";
"X1";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";
"X_STP";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"Y-MOT";"";"1X4-BIG";"1X04-BIG";"4-pin connector";"";"";"";"";
"Y_STP";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"Z-MOT1";"";"1X4-BIG";"1X04-BIG";"4-pin connector";"";"";"";"";
